len_title,len_brand,len_material,len_color,len_description
8,1,1,1,95
6,2,0,0,123
6,2,0,0,123
5,1,0,0,185
6,1,1,0,37
6,1,1,0,37
6,1,1,0,37
6,1,1,0,37
7,2,0,0,59
11,1,0,0,106
11,1,0,0,106
11,1,0,0,106
11,2,0,1,51
11,2,0,1,51
11,2,0,1,51
11,2,0,1,51
11,2,0,1,51
14,2,0,0,171
16,1,0,0,127
16,1,0,0,127
16,1,0,0,127
16,1,0,0,127
16,1,0,0,127
16,1,0,0,127
12,1,0,0,182
12,1,0,0,182
10,1,0,0,84
10,1,0,0,84
10,1,0,0,84
10,1,0,0,84
10,1,0,0,84
9,1,0,0,163
9,1,0,0,163
9,1,0,0,163
9,1,0,0,163
5,1,0,0,67
5,1,0,0,67
8,1,1,1,58
16,1,1,2,50
16,1,1,2,50
9,1,1,0,64
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,2,192
16,1,0,0,104
16,1,0,0,104
16,1,0,0,104
16,1,0,0,104
16,1,0,0,104
10,2,0,0,140
8,2,0,0,90
8,2,0,0,90
8,2,0,0,90
8,2,0,0,90
8,2,0,0,90
9,1,0,1,56
9,1,0,1,56
9,1,0,1,56
13,2,0,2,153
13,2,0,2,153
17,3,1,1,104
3,1,0,0,59
9,1,1,1,49
9,1,1,1,49
9,1,1,1,49
9,1,1,1,49
12,1,0,0,236
6,1,0,0,165
6,1,0,0,165
6,2,0,1,46
14,1,1,1,99
14,1,1,1,99
7,1,0,1,81
7,1,0,1,81
15,1,1,0,53
15,1,1,0,53
12,3,1,2,70
12,3,1,2,70
12,3,1,2,70
12,3,1,2,70
6,2,0,0,97
10,2,0,0,110
8,1,0,0,135
10,1,0,0,167
8,1,0,0,107
7,2,1,0,46
11,2,0,0,72
17,1,0,0,96
17,1,0,0,96
8,2,0,0,47
8,2,0,0,47
6,1,4,1,54
6,1,4,1,54
6,1,4,1,54
13,1,0,0,74
11,2,1,1,96
11,2,1,1,96
11,2,1,1,96
11,2,1,1,96
11,2,1,1,96
6,1,1,1,61
6,1,1,1,41
7,1,3,0,110
7,1,3,0,110
7,1,3,0,110
7,1,3,0,110
7,1,3,0,110
7,1,3,0,110
7,1,3,0,110
7,1,0,0,77
16,2,1,1,103
16,2,1,1,103
16,2,1,1,103
16,2,1,1,103
16,2,1,1,103
16,2,1,1,103
12,1,0,1,90
12,1,0,1,90
12,1,0,1,90
12,1,0,1,90
12,1,0,1,90
12,1,0,1,90
11,3,2,0,54
16,1,0,0,151
16,1,0,0,151
11,1,0,0,199
11,1,0,0,199
11,1,0,0,199
11,1,0,0,199
11,1,0,0,199
11,1,0,0,199
10,1,0,0,125
8,2,0,0,42
16,2,0,2,247
16,2,0,2,247
16,2,0,2,247
16,2,0,2,247
8,1,1,0,68
8,1,1,0,68
9,1,1,0,54
9,1,1,0,54
9,1,1,0,54
9,1,1,0,54
9,2,0,0,37
9,2,0,0,37
6,1,0,0,86
17,1,1,1,87
4,1,1,1,104
4,1,1,1,104
4,1,1,1,104
5,2,0,0,119
5,2,0,0,119
16,1,0,2,148
9,2,0,0,156
9,2,0,0,156
9,2,0,0,156
9,2,0,0,156
14,1,1,0,59
8,1,0,1,90
15,2,1,1,58
15,2,1,1,58
15,2,1,1,58
22,1,0,0,42
7,2,1,0,141
7,2,1,0,141
7,2,1,0,141
5,1,0,0,87
13,1,1,1,114
13,1,1,1,114
6,2,0,0,78
8,2,0,1,204
8,2,0,1,204
8,2,0,1,204
10,2,2,1,63
16,3,1,2,75
12,2,0,0,154
12,2,0,0,154
12,2,0,0,154
10,3,0,0,112
10,3,0,0,112
10,3,0,0,112
10,3,0,0,112
10,3,0,0,112
7,1,1,1,85
7,1,1,1,85
7,1,1,1,85
3,1,0,0,76
10,2,0,1,90
10,2,1,1,90
10,1,0,0,70
15,1,0,0,94
15,1,0,0,94
15,1,0,0,94
9,2,0,1,148
9,2,0,1,148
9,2,0,1,148
9,2,0,1,148
9,2,0,1,148
9,2,0,1,148
16,2,0,1,84
12,1,0,0,102
10,2,1,0,59
12,1,0,2,90
13,1,0,0,91
10,1,1,1,67
18,1,0,1,84
18,1,0,1,84
18,1,0,1,84
18,1,0,1,84
15,1,1,0,206
15,1,1,0,206
15,1,1,0,206
10,1,0,1,90
10,1,0,1,90
10,1,0,1,90
18,1,1,1,74
12,2,0,0,65
12,2,0,0,65
12,2,0,0,65
12,2,0,0,65
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
15,2,0,0,304
11,2,0,0,179
11,2,0,0,179
11,2,0,0,179
11,2,0,0,179
14,2,0,0,293
10,1,0,1,176
19,1,1,0,137
19,1,1,0,137
13,2,1,1,92
13,2,1,1,92
13,2,1,1,92
13,2,1,1,92
13,2,1,1,92
13,2,1,1,92
13,2,1,1,92
13,2,1,1,92
11,1,0,1,201
11,1,0,1,108
11,1,0,1,108
11,1,0,1,108
6,1,0,0,128
6,1,0,0,128
4,1,0,0,51
10,2,0,0,91
7,3,0,0,94
7,3,0,0,94
7,3,0,0,94
7,3,0,0,94
7,3,0,0,94
12,1,0,1,133
12,1,0,1,133
5,1,0,0,96
5,1,0,0,56
5,1,0,0,56
23,1,1,0,138
23,1,1,0,138
23,1,1,0,138
15,2,0,0,44
15,2,0,0,44
15,2,0,0,44
8,1,0,0,85
9,1,0,1,67
9,1,0,1,67
9,1,0,1,67
9,1,0,1,67
10,3,1,0,58
9,2,0,0,53
9,2,0,0,53
12,1,0,0,108
11,3,0,0,121
11,3,0,0,121
11,3,0,0,121
11,3,0,0,121
11,3,0,0,121
11,3,0,0,121
11,1,0,1,190
19,1,0,1,105
19,1,0,1,105
19,1,0,1,105
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
7,1,2,1,36
10,1,0,0,108
9,2,0,0,64
15,3,1,1,89
15,3,1,1,89
5,1,1,1,82
5,1,1,1,82
5,1,1,1,82
5,1,1,1,82
5,1,1,1,82
5,1,1,1,82
15,3,0,1,121
15,3,0,1,121
15,3,0,1,121
15,3,0,1,121
8,1,0,0,241
10,2,0,0,118
13,2,0,0,152
9,1,0,0,42
5,1,0,0,52
5,1,0,0,52
5,1,0,0,52
10,1,2,0,82
10,1,2,0,82
8,3,2,1,95
8,3,2,1,95
12,2,0,0,208
8,1,0,1,119
8,1,0,1,119
17,2,1,0,97
17,2,1,0,97
17,2,1,0,97
17,2,1,0,97
15,2,1,1,114
15,2,1,1,114
7,1,0,0,95
8,2,1,1,40
8,2,1,1,40
14,1,0,1,60
14,1,0,1,60
14,1,0,1,60
14,1,0,1,60
9,1,4,1,90
9,1,4,1,90
9,1,4,1,90
14,3,1,0,43
14,3,1,0,43
14,3,1,0,43
9,2,1,1,123
9,2,1,1,123
12,1,1,3,103
10,2,0,1,146
10,2,0,1,146
10,2,0,1,146
13,1,1,0,61
4,1,0,1,131
11,2,0,0,73
11,2,0,0,73
7,1,1,1,88
7,1,1,1,88
7,1,1,1,88
14,1,0,0,115
13,1,1,1,65
6,1,0,0,98
6,1,0,0,98
6,1,0,0,98
10,2,0,0,118
10,2,0,0,118
10,2,0,0,118
10,2,0,0,118
10,2,0,0,118
10,2,0,0,118
10,2,0,0,118
11,2,0,0,179
15,1,1,1,106
15,1,1,1,106
5,1,1,1,56
5,1,1,1,100
5,1,1,1,100
6,2,0,1,43
6,2,0,1,43
6,2,0,1,43
5,1,0,0,100
5,1,0,0,100
8,1,1,1,43
8,1,1,1,43
8,1,1,1,43
8,1,1,1,43
14,1,0,1,181
10,3,1,0,80
10,3,1,0,80
22,3,0,0,101
22,3,0,0,101
22,3,0,0,101
22,3,0,0,101
22,3,0,0,101
22,3,0,0,101
22,3,0,0,101
9,1,0,0,106
9,1,0,0,106
8,1,1,1,98
8,1,1,1,98
8,1,1,1,98
8,1,1,1,98
8,1,1,1,98
12,1,0,0,64
8,1,0,0,96
14,1,0,0,173
8,1,0,0,210
8,1,0,0,210
8,1,0,0,210
9,1,0,0,63
15,2,1,1,44
15,2,1,1,44
15,2,1,1,44
15,2,1,1,44
13,2,1,1,72
13,2,1,1,72
13,2,1,1,72
13,2,1,1,72
13,2,1,1,72
13,2,1,1,72
13,2,1,1,72
15,3,1,1,46
15,3,1,1,46
15,3,1,1,46
12,1,0,0,193
12,1,0,0,193
12,1,0,0,193
12,1,0,0,193
11,2,0,0,69
4,1,1,1,53
4,1,1,1,53
7,1,0,0,97
7,1,0,0,97
7,1,0,0,97
13,1,0,1,159
13,1,1,1,97
13,1,1,1,97
13,1,1,1,97
13,1,1,1,97
12,1,1,0,192
7,1,1,1,98
7,1,1,1,98
7,1,1,1,98
7,1,1,1,98
8,1,0,1,71
8,1,0,1,71
8,1,0,1,71
10,3,0,1,85
10,3,0,1,85
6,1,0,0,149
6,1,0,0,149
6,1,0,0,149
14,1,1,1,62
7,1,2,1,62
7,1,2,1,62
7,1,2,1,62
7,1,2,1,62
7,1,2,1,62
7,1,2,1,62
7,1,2,1,62
17,1,0,0,223
17,1,0,0,223
17,1,0,0,223
17,1,0,0,223
17,1,0,0,223
4,1,1,0,53
4,1,1,0,53
4,1,1,0,53
15,3,0,0,92
15,3,0,0,92
15,3,0,0,92
12,3,1,0,60
12,3,1,0,60
13,1,0,0,136
15,2,2,1,258
11,1,0,1,98
11,1,0,1,98
15,3,0,1,149
15,3,0,1,149
10,1,0,2,107
10,1,0,2,107
10,1,0,2,107
19,2,0,0,179
19,2,0,0,179
19,2,0,0,179
19,2,0,0,179
5,1,0,1,93
5,1,0,1,93
5,1,0,1,93
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
14,1,0,0,113
9,2,0,1,230
9,2,0,1,230
9,2,0,1,230
9,2,0,1,230
9,2,0,1,230
9,2,0,1,230
9,2,0,1,230
9,2,0,1,230
11,1,0,0,125
16,1,0,0,148
9,1,0,1,73
6,1,1,0,168
9,3,1,1,67
16,3,0,0,101
16,3,0,0,101
16,3,0,0,101
6,1,0,0,69
6,1,0,0,69
6,1,1,0,41
16,2,0,1,271
16,2,0,1,271
16,2,0,1,271
16,2,0,1,271
16,2,0,1,271
8,1,0,1,141
7,1,1,1,70
7,1,1,1,70
7,1,1,1,70
7,1,1,1,70
13,1,1,0,42
13,1,1,0,42
11,2,1,0,38
11,2,1,0,38
11,2,1,0,38
13,1,1,1,107
13,1,1,1,107
13,1,1,1,107
13,1,1,1,107
13,1,1,1,107
13,1,1,1,107
25,1,1,1,68
25,1,1,1,68
25,1,1,1,68
25,1,1,1,68
25,1,1,1,68
12,3,0,0,66
12,3,0,0,66
12,3,0,0,66
12,3,0,0,66
12,3,0,0,66
12,1,1,1,110
14,2,0,0,135
8,1,0,1,120
11,1,0,0,221
13,2,0,1,61
20,2,0,1,93
18,1,1,1,97
16,2,0,1,59
6,1,1,2,69
6,1,1,2,69
6,1,1,2,69
13,1,0,1,198
11,2,2,1,121
11,2,2,1,121
11,2,2,1,121
11,2,2,1,121
13,1,1,1,82
16,1,2,1,144
16,1,2,1,144
12,1,0,2,67
12,1,0,2,67
9,3,0,0,60
5,1,1,1,62
13,3,1,0,62
13,3,1,0,62
12,1,4,1,58
12,1,4,1,58
12,1,4,1,58
16,1,0,1,181
17,1,0,0,225
17,1,0,0,225
17,1,0,0,225
17,1,0,0,225
17,1,0,0,225
17,1,0,0,225
17,1,0,0,225
16,1,1,2,102
16,1,1,2,102
16,1,1,2,102
16,1,1,2,102
10,2,0,0,106
18,1,0,1,225
18,1,0,1,225
9,2,1,1,74
9,2,1,1,74
9,2,1,1,74
9,2,1,1,74
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
12,2,2,1,70
11,2,0,1,47
11,2,0,1,47
6,2,0,0,52
6,2,0,0,52
6,2,0,0,52
7,1,0,1,214
7,1,0,1,214
11,2,1,3,95
11,2,1,3,95
11,2,1,3,95
8,1,0,0,167
20,3,0,1,103
20,3,0,1,103
20,3,0,1,103
5,1,0,0,139
5,1,0,0,139
5,1,0,0,139
5,1,0,0,139
7,1,1,1,90
7,1,1,1,90
19,2,0,0,235
19,2,0,0,235
19,2,0,0,235
8,1,0,0,117
9,2,0,0,101
14,1,2,2,116
6,1,1,0,63
6,1,0,1,192
6,1,0,1,192
6,1,0,1,192
6,1,0,1,192
6,1,1,1,111
22,1,0,2,146
22,1,0,2,146
22,1,0,2,146
22,1,0,2,146
7,1,0,0,168
9,2,0,0,121
9,2,0,0,121
9,2,0,0,121
11,2,1,0,278
7,2,0,1,168
8,2,0,0,71
9,1,1,1,101
9,1,1,1,101
9,1,1,1,101
9,1,1,1,101
7,1,0,0,114
7,1,0,0,114
7,1,0,0,114
16,2,1,1,75
16,2,1,1,75
5,1,0,0,101
13,1,0,2,98
13,1,0,2,98
5,1,0,0,43
13,1,0,1,173
12,1,0,0,89
12,1,0,0,89
12,1,0,0,89
12,1,0,0,89
10,3,1,1,94
6,1,1,1,82
6,1,1,1,82
6,1,1,1,82
6,1,1,1,82
6,1,1,1,82
15,2,1,1,57
15,2,1,1,57
20,2,0,0,228
20,2,0,0,228
20,2,0,0,228
20,2,0,0,228
20,2,0,0,228
13,3,0,0,123
13,2,0,0,116
13,2,0,0,116
13,2,0,0,116
10,1,0,0,94
10,1,1,1,55
7,2,2,0,111
13,1,0,0,70
13,1,0,0,70
9,1,0,0,119
8,1,0,0,156
8,1,0,0,156
8,1,0,0,156
8,1,0,0,156
6,2,0,0,115
18,1,0,0,211
18,1,0,0,211
18,1,0,0,211
7,1,0,0,70
7,1,0,0,70
7,1,0,0,70
13,2,1,1,168
13,2,1,1,168
7,2,0,0,89
7,2,0,0,89
15,1,0,0,384
15,1,0,0,384
15,1,0,0,384
15,1,0,0,384
15,1,0,0,384
15,1,0,0,384
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
10,1,4,1,47
6,1,0,0,42
6,1,0,0,42
14,2,1,0,99
4,1,0,0,42
4,1,0,0,42
6,1,1,1,43
18,1,0,0,236
18,1,0,0,236
8,3,2,0,103
17,1,0,0,289
17,1,0,0,289
17,1,0,0,289
17,1,0,0,289
17,1,0,0,289
17,1,0,0,289
9,2,1,1,87
14,1,0,0,104
14,1,0,0,104
14,1,0,0,104
14,1,0,0,104
12,1,0,0,104
12,1,0,0,104
12,1,0,0,104
13,2,1,1,171
14,2,1,1,171
13,2,1,1,171
14,2,1,1,171
14,2,1,1,171
11,1,0,1,101
11,1,0,1,101
11,1,0,1,101
14,1,0,1,174
12,1,0,2,149
12,1,0,2,149
12,1,0,2,149
10,1,1,0,55
5,1,0,0,165
5,1,0,0,165
12,1,0,1,207
10,1,1,1,63
10,1,1,1,63
10,1,1,1,63
10,1,1,1,63
10,1,1,1,63
7,1,0,1,146
17,1,0,1,178
17,1,0,1,178
17,1,0,1,178
17,1,0,1,178
12,1,0,0,215
17,1,0,1,136
17,1,0,1,136
17,1,0,1,136
17,1,0,1,136
7,2,1,1,77
7,1,0,0,80
12,1,0,1,180
11,1,2,0,64
9,1,0,1,161
9,1,0,1,161
9,1,0,1,161
9,1,0,1,79
7,1,1,2,91
7,1,1,2,91
7,1,1,2,91
7,1,1,2,91
7,2,0,0,77
6,1,0,1,81
6,1,0,1,81
9,1,1,1,145
9,1,1,1,145
14,1,0,1,175
14,1,0,1,175
11,2,0,0,55
8,1,0,0,91
8,1,0,0,91
8,1,0,0,91
8,1,0,0,91
16,1,1,1,58
16,1,1,1,58
10,1,0,0,57
10,1,0,0,57
8,2,0,0,116
8,2,0,0,80
8,2,0,0,80
6,2,0,0,88
15,1,0,0,81
15,3,0,0,136
15,3,0,0,136
15,3,0,0,136
15,3,0,0,136
11,1,0,0,168
11,1,0,0,168
11,1,0,0,168
11,1,0,0,168
11,1,0,0,168
11,1,0,0,168
11,2,0,0,94
8,1,0,0,60
10,1,3,0,80
10,1,3,0,80
10,1,3,0,80
10,1,3,0,80
11,2,0,0,57
14,3,0,1,118
14,3,0,1,118
14,3,0,1,118
6,1,0,0,86
6,1,0,0,86
10,2,0,0,87
11,2,1,0,94
11,2,1,0,94
11,2,1,0,94
11,2,1,0,94
9,1,1,1,94
11,1,1,0,55
11,1,1,0,55
7,1,0,0,87
7,1,0,0,87
7,1,0,0,87
7,1,0,0,87
14,1,1,1,160
14,1,1,1,160
14,1,1,1,160
13,1,1,0,38
13,1,1,0,38
13,1,1,0,38
13,1,1,0,38
13,1,1,0,38
13,1,1,0,38
7,2,0,0,47
8,1,0,1,109
8,1,0,1,109
8,1,0,1,109
9,2,0,0,96
8,2,0,1,139
8,2,0,1,139
8,2,0,1,139
8,2,0,1,139
8,2,0,1,139
8,2,0,1,139
16,1,1,2,193
5,1,0,0,76
5,1,0,1,56
5,1,0,1,56
13,1,0,0,134
13,1,0,0,134
19,2,2,1,125
19,2,2,1,125
10,2,0,0,143
10,2,0,0,143
10,2,0,0,143
10,2,0,0,143
10,2,0,0,143
10,2,0,0,143
10,2,0,0,143
10,2,0,0,143
7,1,0,0,53
10,2,1,1,66
10,2,1,1,66
10,2,1,1,66
8,1,0,1,86
8,1,0,1,86
8,1,0,1,86
8,1,0,1,86
6,2,0,2,69
6,2,0,2,69
6,2,0,2,69
13,1,0,0,151
13,1,0,0,151
13,1,0,0,151
13,1,0,0,151
13,1,0,0,151
13,3,0,1,139
11,1,0,0,117
11,1,0,0,117
10,2,1,1,147
13,1,1,1,95
13,1,1,1,95
13,1,1,1,95
13,1,1,1,95
11,1,2,1,137
11,1,2,1,137
11,1,2,1,137
11,1,2,1,137
11,1,2,1,137
5,1,0,1,84
6,1,0,1,140
12,1,2,1,205
12,1,2,1,205
12,1,2,1,205
22,1,0,0,78
22,1,0,0,78
22,1,0,0,78
22,1,0,0,78
22,1,0,0,78
22,1,0,0,78
22,1,0,0,78
9,2,2,1,136
9,2,2,1,136
9,2,2,1,136
9,2,2,1,136
7,1,1,1,45
7,1,1,1,45
7,1,1,1,45
13,1,1,0,66
18,1,0,1,239
18,1,0,1,239
18,1,0,1,239
18,1,0,1,239
18,1,0,1,239
11,1,2,1,75
11,1,1,1,75
11,1,0,0,213
11,1,0,0,213
7,1,0,0,146
13,1,0,0,80
10,1,0,0,293
10,1,0,0,293
4,1,0,0,47
4,1,0,0,47
9,2,1,1,121
7,1,1,1,111
11,2,1,1,37
9,2,1,1,143
6,2,1,0,52
9,2,2,1,98
9,2,2,1,98
9,2,2,1,98
10,1,0,0,154
5,2,0,1,108
14,1,0,0,160
14,1,0,0,160
8,2,1,1,85
8,2,1,1,85
8,2,1,1,85
8,2,1,1,85
14,1,4,1,76
14,1,4,1,76
14,1,4,1,76
14,1,4,1,76
8,2,0,1,120
8,2,0,1,120
8,2,0,1,120
10,2,0,1,162
15,1,2,1,164
15,1,2,1,164
15,1,2,1,164
15,1,2,1,164
13,1,0,0,101
12,1,0,2,51
14,2,0,0,57
6,2,1,1,38
6,3,2,0,97
11,1,0,1,157
11,1,0,1,157
11,1,0,1,157
11,1,0,1,157
11,1,0,1,157
11,1,0,1,157
7,1,0,0,69
13,1,0,1,161
13,1,0,1,161
16,1,0,1,119
16,1,0,1,119
16,1,0,1,119
15,2,0,0,118
15,2,0,0,118
15,2,0,0,118
15,2,0,0,118
10,1,1,1,47
10,1,1,1,47
10,1,1,1,47
10,1,0,0,167
10,1,0,0,167
11,1,0,0,143
11,1,0,0,143
11,1,0,0,143
10,3,0,1,220
10,3,0,1,220
10,3,0,1,220
10,3,0,1,220
15,1,0,0,84
15,1,0,0,84
3,1,1,1,104
16,1,0,1,97
16,1,0,1,97
16,1,0,1,97
16,1,0,1,97
16,1,0,1,97
10,1,1,2,93
10,1,1,2,93
10,1,1,2,93
10,1,1,2,93
11,1,1,1,73
11,1,1,1,73
11,1,1,1,73
11,1,1,1,73
8,1,0,1,150
8,1,0,1,150
8,1,0,1,150
10,2,0,0,117
10,2,0,0,117
11,1,0,0,84
14,2,0,0,226
14,2,0,0,226
14,2,0,0,226
14,2,0,0,226
14,2,0,0,226
14,2,0,0,226
14,2,0,0,226
11,2,1,1,110
11,2,1,1,110
20,2,0,0,231
8,2,0,0,94
7,1,1,1,84
10,2,0,0,90
10,2,0,0,90
17,2,0,1,268
17,2,0,1,268
17,2,0,1,268
17,2,0,1,268
23,1,1,0,58
23,1,1,0,58
7,1,0,0,85
7,1,0,0,85
7,1,0,0,85
7,1,0,0,85
7,1,0,0,85
10,2,0,0,105
10,2,0,0,105
10,1,2,0,133
7,1,1,1,36
7,1,1,1,36
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
10,3,0,1,148
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
17,1,0,1,170
6,1,0,0,77
4,1,2,0,52
6,2,1,1,48
8,1,0,0,55
17,1,0,0,110
17,1,0,0,110
17,1,0,0,110
17,1,0,0,110
17,1,0,0,110
17,1,0,0,110
17,1,0,0,110
17,1,0,0,110
18,2,1,1,92
18,2,1,1,92
18,2,1,1,92
18,2,1,1,92
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
9,2,0,1,159
13,1,0,1,135
13,1,0,1,135
13,1,0,1,135
6,1,0,1,75
6,1,0,1,75
6,1,0,1,75
11,1,0,0,100
11,1,0,0,100
15,1,1,0,54
15,1,1,0,54
13,1,4,1,60
13,1,4,1,60
16,3,1,1,61
16,3,1,1,61
16,3,1,1,61
3,1,0,0,115
3,1,0,0,115
14,2,1,1,114
11,2,0,1,127
8,2,0,1,57
8,2,0,1,57
8,2,0,0,76
8,2,0,0,76
10,2,0,0,38
10,2,0,0,38
10,2,0,0,38
12,1,1,1,79
12,1,1,1,79
12,1,1,1,79
12,1,1,1,79
11,1,1,1,128
11,1,1,1,128
11,1,1,1,128
11,1,1,1,128
8,3,1,1,83
13,1,1,0,81
13,1,1,0,81
13,1,1,0,81
13,1,1,0,81
14,2,0,0,168
14,2,0,0,168
14,2,0,0,168
14,2,0,0,168
14,2,0,0,168
14,2,0,0,168
14,2,0,0,168
16,1,1,1,115
